Date,Open,High,Low,Close,Adj Close,Volume
2020-01-06,1151.050049,1151.750000,1112.449951,1117.300049,1085.924316,30764
2020-01-07,1127.699951,1149.599976,1112.800049,1124.199951,1092.630493,8550
2020-01-08,1106.000000,1132.250000,1099.800049,1130.199951,1098.462036,19444
2020-01-09,1138.250000,1152.650024,1122.650024,1147.150024,1114.936157,10548
2020-01-10,1150.750000,1153.199951,1127.300049,1130.949951,1099.191040,10333
2020-01-13,1136.849976,1170.800049,1125.900024,1167.750000,1134.957764,15469
2020-01-14,1153.400024,1213.599976,1113.349976,1129.900024,1098.170532,89197
2020-01-15,1131.000000,1131.000000,1080.500000,1098.550049,1067.700928,40279
2020-01-16,1105.750000,1112.150024,1093.599976,1098.849976,1067.992310,11390
2020-01-17,1108.000000,1111.400024,1084.650024,1087.349976,1056.815430,19787
2020-01-20,1098.500000,1113.449951,1068.199951,1073.099976,1042.965576,17829
2020-01-21,1070.599976,1103.000000,1062.900024,1089.550049,1058.953613,16100
2020-01-22,1091.650024,1092.650024,1071.449951,1074.650024,1044.471924,8662
2020-01-23,1080.949951,1088.750000,1076.000000,1083.500000,1053.073486,473377
2020-01-24,1095.000000,1097.800049,1081.800049,1083.199951,1052.781860,10863
2020-01-27,1083.000000,1096.150024,1071.199951,1081.750000,1051.372681,12734
2020-01-28,1080.000000,1100.000000,1057.449951,1079.400024,1049.088623,34361
2020-01-29,1087.449951,1120.000000,1087.449951,1107.599976,1076.496826,94154
2020-01-30,1106.099976,1108.000000,1030.750000,1046.300049,1016.918213,37857
2020-01-31,1030.099976,1054.000000,1017.200012,1020.799988,992.134216,30338
2020-02-03,989.099976,1000.650024,967.000000,986.700012,958.991821,29430
2020-02-04,1048.000000,1113.400024,1032.500000,1047.400024,1017.987305,212611
2020-02-05,1057.349976,1139.099976,1056.750000,1133.199951,1101.377808,310069
2020-02-06,1130.000000,1234.800049,1130.000000,1220.000000,1185.740234,228929
2020-02-07,1225.000000,1227.000000,1193.900024,1222.599976,1188.267334,56050
2020-02-10,1224.800049,1225.349976,1198.900024,1207.300049,1173.397095,29437
2020-02-11,1240.000000,1261.050049,1206.500000,1219.250000,1185.011353,72712
2020-02-12,1221.400024,1245.949951,1215.000000,1219.000000,1184.768555,47217
2020-02-13,1230.000000,1281.900024,1218.750000,1253.849976,1218.639771,474411
2020-02-14,1255.250000,1295.050049,1255.250000,1286.500000,1250.372925,52233
2020-02-17,1286.000000,1299.000000,1271.000000,1278.750000,1242.840454,31266
2020-02-18,1285.650024,1285.650024,1246.199951,1274.750000,1238.952881,36433
2020-02-19,1270.150024,1302.849976,1266.300049,1291.199951,1254.940918,37197
2020-02-20,1295.000000,1358.449951,1277.550049,1342.050049,1304.362915,494021
2020-02-24,1348.000000,1366.900024,1315.500000,1335.099976,1297.608276,48615
2020-02-25,1342.449951,1349.550049,1308.949951,1321.400024,1284.292847,35956
2020-02-26,1322.000000,1325.000000,1268.800049,1276.750000,1240.896729,43771
2020-02-27,1280.000000,1280.000000,1241.949951,1259.349976,1223.985229,287444
2020-02-28,1221.550049,1260.550049,1166.949951,1197.949951,1164.309448,106277
2020-03-02,1230.550049,1328.000000,1223.250000,1287.550049,1251.393433,221930
2020-03-03,1287.000000,1304.000000,1251.300049,1258.400024,1223.062012,42959
2020-03-04,1264.000000,1264.000000,1132.599976,1166.250000,1133.499756,127203
2020-03-05,1167.400024,1198.000000,1128.099976,1174.949951,1141.955444,44163
2020-03-06,1125.099976,1125.099976,1031.000000,1105.199951,1074.164063,86193
2020-03-09,1049.000000,1056.599976,978.000000,986.000000,958.311462,101892
2020-03-11,980.000000,1015.000000,953.099976,987.299988,959.574951,1085395
2020-03-12,960.000000,960.000000,831.450012,842.900024,819.229980,71110
2020-03-13,804.000000,876.549988,717.000000,826.799988,803.582031,252278
2020-03-16,826.000000,852.299988,749.700012,763.450012,742.011047,76587
2020-03-17,760.000000,829.500000,760.000000,776.950012,755.131958,113449
2020-03-18,793.000000,800.000000,678.400024,687.549988,668.242432,97284
2020-03-19,683.500000,730.000000,591.049988,623.950012,606.428406,141371
2020-03-20,636.299988,664.349976,570.500000,582.150024,565.802246,112767
2020-03-23,589.849976,589.849976,440.000000,452.000000,439.307068,68420
2020-03-24,453.000000,517.000000,443.000000,485.950012,472.303711,164639
2020-03-25,477.950012,580.700012,461.049988,567.599976,551.660767,80387
2020-03-26,597.000000,680.000000,557.000000,652.500000,634.176697,87369
2020-03-27,670.000000,815.000000,670.000000,724.450012,704.106201,117585
2020-03-30,700.000000,700.000000,596.000000,609.099976,591.995422,126238
2020-03-31,626.000000,670.000000,605.450012,663.000000,644.381897,106982
2020-04-01,650.000000,667.799988,607.950012,621.650024,604.193115,73091
2020-04-03,630.000000,630.000000,515.349976,520.900024,506.272278,169425
2020-04-07,540.000000,562.500000,500.000000,536.849976,521.774353,376921
2020-04-08,529.700012,609.650024,514.000000,596.500000,579.749268,179072
2020-04-09,621.000000,680.599976,608.849976,676.099976,657.113892,177032
2020-04-13,676.099976,697.000000,620.700012,645.349976,627.227478,135417
2020-04-15,637.000000,706.599976,637.000000,663.599976,644.964905,155458
2020-04-16,640.150024,699.549988,640.150024,681.150024,662.022156,164368
2020-04-17,707.000000,817.349976,707.000000,802.750000,780.207397,243976
2020-04-20,817.349976,820.799988,682.349976,685.349976,666.104187,281965
2020-04-21,663.000000,674.099976,578.549988,588.700012,572.168335,289014
2020-04-22,601.000000,622.700012,565.849976,606.750000,589.711426,352096
2020-04-23,618.700012,660.000000,614.250000,641.450012,623.437012,228072
2020-04-24,619.950012,699.250000,577.349976,668.400024,649.630188,562709
2020-04-27,677.799988,682.099976,637.450012,642.150024,624.117371,240806
2020-04-28,664.799988,701.950012,652.000000,694.599976,675.094421,166891
2020-04-29,705.000000,715.900024,681.450012,697.250000,677.670044,137558
2020-04-30,719.799988,799.250000,711.650024,781.549988,759.602783,276481
2020-05-04,731.099976,763.000000,696.250000,745.799988,724.856689,250849
2020-05-05,774.700012,786.349976,725.599976,740.400024,719.608337,194726
2020-05-06,732.000000,794.950012,722.700012,781.400024,759.456970,180453
2020-05-07,779.799988,806.700012,746.000000,754.700012,733.506714,215670
2020-05-08,762.000000,787.849976,733.099976,744.200012,723.301636,158835
2020-05-11,757.799988,767.599976,726.099976,736.799988,716.109436,183966
2020-05-12,710.450012,712.099976,643.799988,669.549988,650.747925,318114
2020-05-13,700.900024,721.000000,665.000000,672.650024,653.760925,205456
2020-05-14,695.000000,720.000000,643.000000,648.849976,630.629211,592689
2020-05-15,645.000000,660.000000,626.849976,641.549988,623.534119,256942
2020-05-18,654.900024,654.900024,573.900024,576.200012,560.019409,285082
2020-05-19,588.000000,620.799988,576.450012,587.250000,570.758972,393957
2020-05-20,592.000000,601.799988,570.049988,579.200012,562.935059,207153
2020-05-21,583.400024,595.250000,570.000000,574.599976,558.464233,192342
2020-05-22,572.200012,583.549988,528.099976,541.400024,526.196594,314291
2020-05-26,559.000000,559.000000,532.000000,538.200012,523.086426,153336
2020-05-27,540.000000,566.000000,537.500000,555.150024,539.560486,208101
2020-05-28,571.900024,582.599976,559.299988,567.000000,551.077759,239270
2020-05-29,567.000000,577.299988,547.400024,572.049988,555.985840,327361
2020-06-01,589.000000,604.000000,576.000000,579.400024,563.129517,375906
2020-06-02,580.000000,592.700012,563.349976,587.099976,570.613220,351306
2020-06-03,597.000000,640.799988,597.000000,616.299988,598.993225,649916
2020-06-04,619.900024,636.900024,606.750000,612.750000,595.542969,363657
2020-06-05,620.000000,625.000000,600.250000,615.700012,598.410156,294975
2020-06-08,632.000000,654.849976,626.000000,631.950012,614.203796,341392
2020-06-09,638.000000,650.599976,613.000000,619.549988,602.151978,263395
2020-06-10,624.000000,641.650024,612.049988,635.450012,617.605469,220414
2020-06-11,615.000000,675.750000,605.000000,637.799988,619.889465,659809
2020-06-12,606.549988,693.099976,606.549988,685.349976,666.104187,626811
2020-06-15,690.000000,707.349976,663.950012,674.450012,655.510376,462861
2020-06-16,695.000000,699.000000,638.750000,654.799988,636.412109,555315
2020-06-17,642.000000,665.450012,640.900024,648.099976,629.900269,228287
2020-06-18,649.750000,670.200012,641.750000,666.599976,647.880737,240975
2020-06-19,null,null,null,null,null,null
