Date,Close,Volume
04-06-2020,478.450012,5829493
05-06-2020,484.200012,6265829
08-06-2020,470.850006,5955200
09-06-2020,478.75,7656301
10-06-2020,472.049988,4849036
11-06-2020,474.549988,4331683
12-06-2020,508.450012,18368009
15-06-2020,508.149994,17605860
16-06-2020,506.75,6712936
17-06-2020,497.600006,9273745
18-06-2020,506.600006,7114752
19-06-2020,500.049988,9811021
22-06-2020,498.75,5149581
23-06-2020,516.400024,9132472
24-06-2020,515.349976,7568963
25-06-2020,507.25,5248401
26-06-2020,501.399994,4079405
29-06-2020,507.450012,4459947
30-06-2020,510.700012,5487685
01-07-2020,498.950012,8990865
02-07-2020,529.700012,16513522
03-07-2020,530.5,7982179
06-07-2020,570.549988,16728066
07-07-2020,560.0,9208254
08-07-2020,551.25,5172833
09-07-2020,560.299988,4123902
10-07-2020,554.849976,5752443
13-07-2020,555.849976,3165043
14-07-2020,545.200012,3097258
15-07-2020,550.150024,5671780
16-07-2020,570.900024,11751032
17-07-2020,588.799988,9124092
20-07-2020,594.0,5771917
21-07-2020,588.299988,3850519
22-07-2020,592.0,11559026
23-07-2020,603.349976,7605913
24-07-2020,598.700012,3531702
27-07-2020,594.400024,3345182
28-07-2020,620.349976,10289416
29-07-2020,604.849976,5182915
30-07-2020,598.349976,4958267
31-07-2020,606.450012,3962668
03-08-2020,597.150024,5002825
04-08-2020,602.599976,4889709
05-08-2020,614.25,3834812
06-08-2020,609.650024,3857553
07-08-2020,600.450012,7679198
10-08-2020,628.900024,12341769
11-08-2020,629.549988,5128836
12-08-2020,634.950012,8891590
13-08-2020,631.450012,5773589
14-08-2020,614.450012,3622823
17-08-2020,623.599976,5687622
18-08-2020,622.650024,3989439
19-08-2020,623.900024,2762486
20-08-2020,612.049988,3165784
21-08-2020,609.799988,4191258
24-08-2020,601.950012,3707968
25-08-2020,609.349976,4248590
26-08-2020,613.349976,5814785
27-08-2020,636.75,7637436
28-08-2020,631.400024,7809917
31-08-2020,606.900024,5012805
01-09-2020,607.549988,5572232
02-09-2020,642.75,7887097
03-09-2020,644.650024,9194655
04-09-2020,632.0,5889085
07-09-2020,610.450012,9387992
08-09-2020,608.599976,6825892
09-09-2020,613.900024,6589023
10-09-2020,615.450012,4699612
11-09-2020,614.25,2837723
14-09-2020,615.299988,4918699
15-09-2020,613.450012,3805649
16-09-2020,639.450012,18993356
17-09-2020,636.799988,6363964
18-09-2020,654.150024,13518207
21-09-2020,622.450012,9301954
22-09-2020,615.799988,5369370
23-09-2020,612.599976,4116481
24-09-2020,575.099976,8991885
25-09-2020,592.299988,5415792
28-09-2020,615.25,5494528
29-09-2020,613.200012,5747565
30-09-2020,607.900024,4990827
01-10-2020,610.150024,3842191
05-10-2020,607.0,5977261
06-10-2020,627.400024,9071955
07-10-2020,631.599976,6086867
08-10-2020,634.150024,4683786
09-10-2020,633.200012,4972397
12-10-2020,634.400024,3247640
13-10-2020,627.900024,3769222
14-10-2020,623.849976,2776984
15-10-2020,617.299988,3794955
16-10-2020,606.650024,4274910
19-10-2020,597.450012,3646287
20-10-2020,602.25,4377671
21-10-2020,600.849976,3684706
22-10-2020,604.349976,3818694
23-10-2020,625.150024,6421723
26-10-2020,597.150024,4800537
27-10-2020,597.150024,5712121
28-10-2020,604.150024,6811118
29-10-2020,591.950012,3680773
30-10-2020,594.0,4209087
02-11-2020,596.049988,4085120
03-11-2020,595.799988,3669816
04-11-2020,596.799988,2475177
05-11-2020,602.099976,3794240
06-11-2020,613.599976,5908936
09-11-2020,616.349976,3819808
10-11-2020,619.950012,7876161
11-11-2020,633.200012,7561527
12-11-2020,632.700012,6913788
13-11-2020,629.849976,4107823
14-11-2020,631.349976,295788
17-11-2020,637.25,6173551
18-11-2020,705.75,32986476
19-11-2020,703.900024,15336768
20-11-2020,715.599976,6730897
23-11-2020,705.450012,4484068
24-11-2020,729.349976,16121626
25-11-2020,719.950012,5423034
26-11-2020,728.5,6798860
27-11-2020,722.0,11302666
01-12-2020,734.549988,5710611
02-12-2020,753.599976,6337698
03-12-2020,745.849976,2957787
04-12-2020,750.549988,5356456
07-12-2020,752.299988,3525945
08-12-2020,754.0,4333519
09-12-2020,755.0,3213975
10-12-2020,736.150024,3814006
11-12-2020,727.549988,4197494
14-12-2020,711.700012,4183639
15-12-2020,717.950012,5495877
16-12-2020,731.950012,11262389
17-12-2020,730.650024,3630553
18-12-2020,733.599976,6671658
21-12-2020,685.950012,9130116
22-12-2020,695.049988,7305751
23-12-2020,711.5,4383472
24-12-2020,710.900024,3373695
28-12-2020,710.950012,2484872
29-12-2020,707.049988,2808820
30-12-2020,720.700012,3219036
31-12-2020,720.599976,3723205
01-01-2021,732.450012,9543128
